Material,shead_1,shead_2,shead_3,shead_4,shead_5,shead_6,shead_7,shead_8,chick,grower
DCP,8,8,10,8,0,8,0,8,10,5
"AgeeMix Forte",5,5,5,5,0,5,0,5,5,5
Salt,3,3,3,3,0,3,0,3,3,0
"Choline Chloride",1.5,1.5,0.5,1.5,0,1.5,0,1.5,0.5,0
"Sodium Bicarbonate",1,1,1,1,0,1,0,1,1,0
"Toxifin 300",1,1,1,1,0,1,0,1,0.5,1
Lysine,0.8,0.8,0.8,0.8,0,0.8,0,1,1.5,0
"Trace minerals",0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"DL Methonine",0.5,0.5,0.5,0.5,0,0.5,0,1.7,1.5,0
"Lever Powder",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"L Threonine",0,0,0,0,0,0,0,0,0.3,0
